hotel_uid,hotel_name
JP06744F,Address Hotel Istanbul
JP757855,BEST WESTERN EMPIRE PALACE
JP863802,BIRBEY OTEL
JP04097D,Beethoven Premium Hotel
JP06604G,Beethoven Senfoni Hotel Istanbul
JP22772D,Bomonti Arjaan by Rotana
JP07236L,"Burdock Hotel Istanbul, Autograph Collection"
JP991815,Byzantium Hotel & Suites
JP027487,CELAL SULTAN Hotel
JP200294,Crowne Plaza Istanbul Old City
JP041568,Delta Hotels Istanbul Levent
JP111916,DoubleTree by Hilton Hotel Istanbul Piyalepasa
JP063731,ENDICAN BEYAZIT HOTEL
JP121260,ENDINCAN SULTANAHMET HOTEL
JP884713,Elite World Comfy Istanbul Taksim
JP083898,Elite World Florya
JP783574,Elite World Grand Istanbul Basin Ekspres
JP02813L,Elite World Grand Istanbul Kucukyali
JP991846,Elite World Istanbul Hotels
JP123851,Emin Hotel Laleli
JP01449V,Fairmont Quasar Istanbul
JP06868K,Four Point By Sheraton Istanbul Kagithane
JP974212,GRAND LIZA HOTEL
JP792885,Gezi Hotel Bosphorus
JP07237G,Gleam Collection Hotel
JP02792R,Glens Palas Istanbul
JP823899,Grand Best Nobel Hotel 2 Istanbul
JP459338,Grand Durmaz Hotel
JP422460,Grand Emin Otel
JP752100,Grand Naki Hotel
JP903616,Hilton Istanbul Maslak
JP983642,Hotel Grand Mark
JP806510,Hyatt Centric Levent Istanbul
JP828301,Hôtel Le Mirage
JP36146T,ICON HOTEL BOMONTI ISTANBUL
JP127380,ICON HOTEL TAKSIM
JP402066,Lasagrada Hotel
JP218092,Legacy Ottoman Hotel
JP02812G,METROPOLITAN HOTELS BOSPHORUS
JP791888,METROPOLITAN HOTELS Taksim
JP124149,Marriott Hotel Sisli
JP027665,Martinenz Otel
JP07790Z,Movenpick Living Camlivadi
JP36016L,Movenpick Living Saklivadi
JP906368,NIDYA HOTEL GALATAPORT
JP027617,Nippon Hotel
JP027211,Point Hotel Barbaros
JP793995,RAMADA BY WYNDHAM ISTANBUL PERA
JP229792,Riva Hotel Taksim
JP08060R,SULTAN HAMIT HOTEL
JP027180,Sheraton Istanbul Atakoy
JP06177X,Sheraton Istanbul City Center
JP465210,Sim Hotel
JP892086,Sura Hagia Sophia Hotel
JP150966,The Cettia Istanbul
JP856154,The Elysium Istanbul Taksim
JP07246P,The Westin Istanbul Nisantasi
JP099812,Wyndham Istanbul Oldcity
JP12291F,Zimmer Hotels Bosphorus
