Otel_ID,Otel_Adi,City_ID
80276577,Address Hotel Istanbul,532
744419,BEST WESTERN EMPIRE PALACE,532
2869920,BIRBEY OTEL,532
21859334,Beethoven Premium Hotel,532
54547201,Beethoven Senfoni Hotel Istanbul,532
99728956,Bomonti Arjaan by Rotana,532
99983779,"Burdock Hotel Istanbul, Autograph Collection",532
2400106,Byzantium Hotel & Suites,532
744407,CELAL SULTAN Hotel,532
2145665,Crowne Plaza Istanbul Old City,532
80290084,Delta Hotels Istanbul Levent,532
2908331,DoubleTree by Hilton Hotel Istanbul Piyalepasa,532
3149705,ENDICAN BEYAZIT HOTEL,532
3803386,ENDINCAN SULTANAHMET HOTEL,532
744253,Elite World Comfy Istanbul Taksim,532
2198807,Elite World Florya,532
6493390,Elite World Grand Istanbul Basin Ekspres,532
21856813,Elite World Grand Istanbul Kucukyali,532
744219,Elite World Istanbul Hotels,532
9221181,Emin Hotel Laleli,532
6404691,Fairmont Quasar Istanbul,532
80112480,Four Point By Sheraton Istanbul Kagithane,532
2845580,GRAND LIZA HOTEL,532
745885,Gezi Hotel Bosphorus,532
101926809,Gleam Collection Hotel,532
21865333,Glens Palas Istanbul,532
2196073,Grand Best Nobel Hotel 2 Istanbul,532
746265,Grand Durmaz Hotel,532
748245,Grand Emin Otel,532
6493392,Grand Naki Hotel,532
744525,Hilton Istanbul Maslak,532
744239,Hotel Grand Mark,532
2109288,Hyatt Centric Levent Istanbul,532
2505938,Hôtel Le Mirage,532
123714437,ICON HOTEL BOMONTI ISTANBUL,532
2088641,ICON HOTEL TAKSIM,532
2702796,Lasagrada Hotel,532
744553,Legacy Ottoman Hotel,532
16018038,METROPOLITAN HOTELS BOSPHORUS,532
2982097,METROPOLITAN HOTELS Taksim,532
2198710,Marriott Hotel Sisli,532
2966442,Martinenz Otel,532
104362376,Movenpick Living Camlivadi,532
117753596,Movenpick Living Saklivadi,532
749796,NIDYA HOTEL GALATAPORT,532
1611578,Nippon Hotel,532
1611579,Point Hotel Barbaros,532
2143990,RAMADA BY WYNDHAM ISTANBUL PERA,532
2195543,Riva Hotel Taksim,532
91089201,SULTAN HAMIT HOTEL,532
744273,Sheraton Istanbul Atakoy,532
44213425,Sheraton Istanbul City Center,532
6638947,Sim Hotel,532
2198991,Sura Hagia Sophia Hotel,532
124320205,The Cettia Istanbul,532
746194,The Elysium Istanbul Taksim,532
97270269,The Westin Istanbul Nisantasi,532
2986491,Wyndham Istanbul Oldcity,532
748604,Zimmer Hotels Bosphorus,532
