otel_adi,tarih,fiyat
Best Western Empire Palace,2025-03-28,85
Best Western Empire Palace,2025-03-29,86
Best Western Empire Palace,2025-03-30,86
Best Western Empire Palace,2025-03-31,81
Best Western Empire Palace,2025-04-01,129
Best Western Empire Palace,2025-04-02,103
Best Western Empire Palace,2025-04-03,122
Best Western Empire Palace,2025-04-04,0
Best Western Empire Palace,2025-04-05,237
Best Western Empire Palace,2025-04-06,355
Best Western Empire Palace,2025-04-07,197
Best Western Empire Palace,2025-04-08,166
Best Western Empire Palace,2025-04-09,118
Best Western Empire Palace,2025-04-10,166
Best Western Empire Palace,2025-04-11,213
Best Western Empire Palace,2025-04-12,199
Best Western Empire Palace,2025-04-13,137
Best Western Empire Palace,2025-04-14,164
Best Western Empire Palace,2025-04-15,164
Best Western Empire Palace,2025-04-16,164
Best Western Empire Palace,2025-04-17,164
Best Western Empire Palace,2025-04-18,0
Best Western Empire Palace,2025-04-19,0
Best Western Empire Palace,2025-04-20,355
Best Western Empire Palace,2025-04-21,163
Best Western Empire Palace,2025-04-22,134
Best Western Empire Palace,2025-04-23,134
Best Western Empire Palace,2025-04-24,214
Best Western Empire Palace,2025-04-25,234
Best Western Empire Palace,2025-04-26,219
Best Western Empire Palace,2025-04-27,214
Best Western Empire Palace,2025-04-28,122
Best Western Empire Palace,2025-04-29,109
Best Western Empire Palace,2025-04-30,169
Best Western Empire Palace,2025-05-01,0
Best Western Empire Palace,2025-05-02,291
Best Western Empire Palace,2025-05-03,0
Best Western Empire Palace,2025-05-04,120
Best Western Empire Palace,2025-05-05,129
Best Western Empire Palace,2025-05-06,129
Best Western Empire Palace,2025-05-07,129
Best Western Empire Palace,2025-05-08,205
Best Western Empire Palace,2025-05-09,189
Best Western Empire Palace,2025-05-10,205
Best Western Empire Palace,2025-05-11,143
Best Western Empire Palace,2025-05-12,129
Best Western Empire Palace,2025-05-13,129
Best Western Empire Palace,2025-05-14,129
Best Western Empire Palace,2025-05-15,111
Best Western Empire Palace,2025-05-16,129
Best Western Empire Palace,2025-05-17,177
Best Western Empire Palace,2025-05-18,205
Best Western Empire Palace,2025-05-19,164
Best Western Empire Palace,2025-05-20,103
Best Western Empire Palace,2025-05-21,129
Best Western Empire Palace,2025-05-22,142
