Hotel Adı,Tarih,Fiyat
Best Western Empire Palace,28-03-2025,85
Best Western Empire Palace,29-03-2025,86
Best Western Empire Palace,30-03-2025,86
Best Western Empire Palace,31-03-2025,87
Best Western Empire Palace,01-04-2025,125
Best Western Empire Palace,02-04-2025,102
Best Western Empire Palace,03-04-2025,121
Best Western Empire Palace,04-04-2025,327
Best Western Empire Palace,05-04-2025,236
Best Western Empire Palace,06-04-2025,327
Best Western Empire Palace,07-04-2025,196
Best Western Empire Palace,08-04-2025,166
Best Western Empire Palace,09-04-2025,118
Best Western Empire Palace,10-04-2025,166
Best Western Empire Palace,11-04-2025,221
Best Western Empire Palace,12-04-2025,199
Best Western Empire Palace,13-04-2025,137
Best Western Empire Palace,14-04-2025,190
Best Western Empire Palace,15-04-2025,177
Best Western Empire Palace,16-04-2025,204
Best Western Empire Palace,17-04-2025,190
Best Western Empire Palace,18-04-2025,0
Best Western Empire Palace,19-04-2025,0
Best Western Empire Palace,20-04-2025,356
Best Western Empire Palace,21-04-2025,163
Best Western Empire Palace,22-04-2025,133
Best Western Empire Palace,23-04-2025,133
Best Western Empire Palace,24-04-2025,213
Best Western Empire Palace,25-04-2025,219
Best Western Empire Palace,26-04-2025,213
Best Western Empire Palace,27-04-2025,213
Best Western Empire Palace,28-04-2025,118
Best Western Empire Palace,29-04-2025,118
Best Western Empire Palace,30-04-2025,157
Best Western Empire Palace,01-05-2025,0
Best Western Empire Palace,02-05-2025,263
Best Western Empire Palace,03-05-2025,0
Best Western Empire Palace,04-05-2025,129
Best Western Empire Palace,05-05-2025,129
Best Western Empire Palace,06-05-2025,129
Best Western Empire Palace,07-05-2025,129
Best Western Empire Palace,08-05-2025,177
Best Western Empire Palace,09-05-2025,190
Best Western Empire Palace,10-05-2025,190
Best Western Empire Palace,11-05-2025,123
Best Western Empire Palace,12-05-2025,111
Best Western Empire Palace,13-05-2025,128
Best Western Empire Palace,14-05-2025,119
Best Western Empire Palace,15-05-2025,119
Best Western Empire Palace,16-05-2025,111
Best Western Empire Palace,17-05-2025,204
Best Western Empire Palace,18-05-2025,204
Best Western Empire Palace,19-05-2025,190
Best Western Empire Palace,20-05-2025,111
Best Western Empire Palace,21-05-2025,111
Best Western Empire Palace,22-05-2025,123
Best Western Empire Palace,23-05-2025,114
Best Western Empire Palace,24-05-2025,111
Best Western Empire Palace,25-05-2025,111
Best Western Empire Palace,26-05-2025,119
Best Western Empire Palace,27-05-2025,128
Best Western Empire Palace,28-05-2025,123
Best Western Empire Palace,29-05-2025,199
Best Western Empire Palace,30-05-2025,199
Best Western Empire Palace,31-05-2025,161
Best Western Empire Palace,01-06-2025,151
Best Western Empire Palace,02-06-2025,109
Best Western Empire Palace,03-06-2025,117
Best Western Empire Palace,04-06-2025,109
Best Western Empire Palace,05-06-2025,133
Best Western Empire Palace,06-06-2025,149
Best Western Empire Palace,07-06-2025,149
Best Western Empire Palace,08-06-2025,127
Best Western Empire Palace,09-06-2025,118
Best Western Empire Palace,10-06-2025,127
Best Western Empire Palace,11-06-2025,118
Best Western Empire Palace,12-06-2025,127
Best Western Empire Palace,13-06-2025,127
Best Western Empire Palace,14-06-2025,118
Best Western Empire Palace,15-06-2025,127
Best Western Empire Palace,16-06-2025,127
Best Western Empire Palace,17-06-2025,118
Best Western Empire Palace,18-06-2025,127
Best Western Empire Palace,19-06-2025,127
Best Western Empire Palace,20-06-2025,127
Best Western Empire Palace,21-06-2025,127
Best Western Empire Palace,22-06-2025,127
Best Western Empire Palace,23-06-2025,118
Best Western Empire Palace,24-06-2025,127
Byzantium Hotel&Suites,28-03-2025,0
Byzantium Hotel&Suites,29-03-2025,90
Byzantium Hotel&Suites,30-03-2025,70
Byzantium Hotel&Suites,31-03-2025,70
Byzantium Hotel&Suites,01-04-2025,75
Byzantium Hotel&Suites,02-04-2025,75
Byzantium Hotel&Suites,03-04-2025,75
Byzantium Hotel&Suites,04-04-2025,75
Byzantium Hotel&Suites,05-04-2025,92
Byzantium Hotel&Suites,06-04-2025,75
Byzantium Hotel&Suites,07-04-2025,76
Byzantium Hotel&Suites,08-04-2025,76
Byzantium Hotel&Suites,09-04-2025,75
Byzantium Hotel&Suites,10-04-2025,74
Byzantium Hotel&Suites,11-04-2025,71
Byzantium Hotel&Suites,12-04-2025,142
Byzantium Hotel&Suites,13-04-2025,100
Byzantium Hotel&Suites,14-04-2025,100
Byzantium Hotel&Suites,15-04-2025,100
Byzantium Hotel&Suites,16-04-2025,100
Byzantium Hotel&Suites,17-04-2025,100
Byzantium Hotel&Suites,18-04-2025,100
Byzantium Hotel&Suites,19-04-2025,135
Byzantium Hotel&Suites,20-04-2025,135
Byzantium Hotel&Suites,21-04-2025,135
Byzantium Hotel&Suites,22-04-2025,135
Byzantium Hotel&Suites,23-04-2025,100
Byzantium Hotel&Suites,24-04-2025,100
Byzantium Hotel&Suites,25-04-2025,135
Byzantium Hotel&Suites,26-04-2025,135
Byzantium Hotel&Suites,27-04-2025,100
Byzantium Hotel&Suites,28-04-2025,100
Byzantium Hotel&Suites,29-04-2025,100
Byzantium Hotel&Suites,30-04-2025,100
Byzantium Hotel&Suites,01-05-2025,265
Byzantium Hotel&Suites,02-05-2025,265
Byzantium Hotel&Suites,03-05-2025,265
Byzantium Hotel&Suites,04-05-2025,103
Byzantium Hotel&Suites,05-05-2025,103
Byzantium Hotel&Suites,06-05-2025,103
Byzantium Hotel&Suites,07-05-2025,265
Byzantium Hotel&Suites,08-05-2025,265
Byzantium Hotel&Suites,09-05-2025,265
Byzantium Hotel&Suites,10-05-2025,265
Byzantium Hotel&Suites,11-05-2025,97
Byzantium Hotel&Suites,12-05-2025,97
Byzantium Hotel&Suites,13-05-2025,97
Byzantium Hotel&Suites,14-05-2025,97
Byzantium Hotel&Suites,15-05-2025,135
Byzantium Hotel&Suites,16-05-2025,135
Byzantium Hotel&Suites,17-05-2025,135
Byzantium Hotel&Suites,18-05-2025,97
Byzantium Hotel&Suites,19-05-2025,97
Byzantium Hotel&Suites,20-05-2025,97
Byzantium Hotel&Suites,21-05-2025,97
Byzantium Hotel&Suites,22-05-2025,135
Byzantium Hotel&Suites,23-05-2025,135
Byzantium Hotel&Suites,24-05-2025,135
Byzantium Hotel&Suites,25-05-2025,97
Byzantium Hotel&Suites,26-05-2025,97
Byzantium Hotel&Suites,27-05-2025,97
Byzantium Hotel&Suites,28-05-2025,135
